"date","name","value"
2020-03-01,"WA",466600
2020-03-01,"MD",323500
2020-03-01,"NJ",324900
2020-03-01,"KY",194700
2020-03-01,"WV",208000
2020-03-01,"NE",213200
2020-03-01,"OK",181500
2020-03-01,"KS",280800
2020-03-01,"NC",269100
2020-03-01,"ID",312100
2020-03-01,"MN",275500
2020-03-01,"WI",211700
2020-03-01,"MO",190200
2020-03-01,"RI",296300
2020-03-01,"DE",238000
2020-03-01,"AL",214000
2020-03-01,"MI",187300
2020-03-01,"UT",352600
2020-03-01,"OH",175400
2020-03-01,"MS",191100
2020-03-01,"NY",416000
2020-03-01,"ME",239900
2020-03-01,"LA",228500
2020-03-01,"DC",610000
2020-03-01,"FL",272000
2020-03-01,"IL",244800
2020-03-01,"OR",376700
2020-03-01,"TX",262300
2020-03-01,"GA",259300
2020-03-01,"IN",204500
2020-03-01,"VT",233900
2020-03-01,"CT",264000
2020-03-01,"SC",250100
2020-03-01,"AR",184700
2020-03-01,"CO",441100
2020-03-01,"NV",312800
2020-02-01,"ME",217400
2020-02-01,"RI",283000
2020-02-01,"NE",200400
2020-02-01,"TX",256100
2020-02-01,"FL",263700
2020-02-01,"MD",300100
2020-02-01,"VT",221400
2020-02-01,"KY",185500
2020-02-01,"SC",243000
2020-02-01,"NY",436300
2020-02-01,"CT",242200
2020-02-01,"ID",309900
2020-02-01,"OK",177100
2020-02-01,"IA",189400
2020-02-01,"MI",177600
2020-02-01,"NH",278600
2020-02-01,"DE",235200
2020-02-01,"GA",246900
2020-02-01,"WA",452300
2020-02-01,"AK",286500
2020-02-01,"DC",590000
2020-02-01,"NV",306700
2020-02-01,"MA",441300
2020-02-01,"VA",345100
2020-02-01,"AR",175600
2020-02-01,"IN",192100
2020-02-01,"CA",583700
2020-02-01,"WI",197200
2020-02-01,"KS",254800
2020-02-01,"NJ",307900
2020-02-01,"WV",203300
2020-02-01,"NC",257300
2020-02-01,"NM",387700
2020-02-01,"MN",259800
2020-02-01,"LA",222000
2020-02-01,"MS",189700
2020-02-01,"HI",589300
2020-02-01,"IL",223200
2020-02-01,"CO",424000
2020-02-01,"MO",177100
2020-02-01,"PA",209500
2020-02-01,"AZ",293900
2020-02-01,"UT",352800
2020-02-01,"TN",256100
2020-02-01,"OH",163100
2020-02-01,"AL",202700
2020-02-01,"OR",363800
2020-01-01,"OH",155500
2020-01-01,"OR",359600
2020-01-01,"DE",227800
2020-01-01,"UT",347400
2020-01-01,"NM",393200
2020-01-01,"GA",239600
2020-01-01,"NE",197600
